range,x,y,z,intensity,ring,time,timestamp
24.992002,24.990116,0.27042967,0.14525135,34.0,21,-0.029023543,1782503090.5394013
24.988,24.986876,0.18752787,0.1452281,34.0,21,-0.028968247,1782503090.5394013
24.991999,24.987425,0.37945265,0.29093397,58.0,22,-0.03163496,1782503090.6398633
24.991999,24.988596,0.29222137,0.29093397,58.0,22,-0.031579666,1782503090.6398633
24.988,24.98543,0.20933805,0.2908874,58.0,22,-0.031524368,1782503090.6398633
24.988,24.981249,0.38370982,0.43610072,73.0,23,-0.03085505,1782503090.6398633
24.992002,24.986437,0.29657134,0.43617055,73.0,23,-0.030799754,1782503090.6398633
24.996,24.992495,0.3926135,0.1452746,34.0,21,-0.029298082,1782503090.6398633
25.000004,24.998629,0.21815996,0.14529786,34.0,21,-0.029188,1782503090.6398633
24.984,24.978872,0.41420648,0.29084083,61.0,22,-0.031846132,1782503090.740014
24.992,24.988222,0.3227485,0.29093397,60.0,22,-0.031790834,1782503090.740014
24.988,24.981998,0.3313916,0.43610072,73.0,23,-0.031009017,1782503090.740014
24.988003,24.983675,0.16134843,0.43610072,73.0,23,-0.030898424,1782503090.740014
24.992002,24.989264,0.3402141,0.14525135,100.0,21,-0.029448234,1782503090.740014
24.996,24.994297,0.2530237,0.1452746,34.0,21,-0.029392939,1782503090.740014
24.984,24.981535,0.19620118,0.29084083,58.0,22,-0.031875167,1782503090.8399591
24.988,24.982536,0.28779197,0.43610072,77.0,23,-0.031146055,1782503090.8399591
24.992,24.989819,0.2965992,0.14525135,34.0,21,-0.029614838,1782503090.8399591
24.988,24.986702,0.20933288,0.1452281,100.0,21,-0.029559541,1782503090.8399591
24.991999,24.987154,0.39689624,0.29093397,58.0,22,-0.032226257,1782503090.940199
24.995998,24.992386,0.3097151,0.29098052,58.0,22,-0.03217096,1782503090.940199
24.992002,24.989357,0.21808182,0.29093397,57.0,22,-0.032115664,1782503090.940199
24.992,24.98994,0.13521805,0.29093397,58.0,22,-0.032060366,1782503090.940199
24.992002,24.985044,0.3968526,0.43617055,70.0,23,-0.031443484,1782503090.940199
24.980003,24.974226,0.3138514,0.43596113,70.0,23,-0.031388186,1782503090.940199
24.984001,24.979168,0.22671466,0.43603092,70.0,23,-0.03133289,1782503090.940199
24.980003,24.975784,0.14386149,0.43596113,70.0,23,-0.031277597,1782503090.940199
24.988,24.984215,0.4099302,0.1452281,32.0,21,-0.02990249,1782503090.940199
25.000002,24.99738,0.33159724,0.14529786,34.0,21,-0.029856049,1782503090.940199
25.004004,25.00247,0.2356496,0.1453211,35.0,21,-0.029800752,1782503090.940199
24.984,24.983139,0.1482546,0.14520486,33.0,21,-0.029745458,1782503090.940199
24.988,24.983015,0.40555277,0.2908874,58.0,22,-0.032404047,1782503091.0404222
24.988,24.98428,0.31834847,0.2908874,59.0,22,-0.032348752,1782503091.0404222
24.995998,24.988829,0.40999958,0.43624035,73.0,23,-0.03163582,1782503091.0404222
24.996002,24.991085,0.23554647,0.43624035,73.0,23,-0.03152523,1782503091.0404222
24.976004,24.97176,0.14819656,0.43589133,70.0,23,-0.03146993,1782503091.0404222
24.996,24.992165,0.3271738,0.29098052,60.0,22,-0.032610435,1782503091.1406567
24.988,24.985155,0.23984934,0.2908874,59.0,22,-0.032555137,1782503091.1406567
24.984001,24.981842,0.1526143,0.29084083,57.0,22,-0.032489147,1782503091.1406567
24.988,24.980688,0.41859964,0.43610072,73.0,23,-0.03187628,1782503091.1406567
