range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25124,25.11888,0.30160967,0.44376644,408.0,50667570,483,30,61454,1782510872.0132546
25075,25.074045,0.13390885,0.20677601,362.0,50881120,508,31,31387,1782510872.4127116
25083,25.08075,0.2878498,0.20683046,369.0,50782110,516,31,35884,1782510872.5141115
25075,25.07275,0.28775778,0.20677601,367.0,50773460,528,31,34408,1782510872.61309
25092,25.091043,0.13400008,0.20689172,361.0,50855340,536,31,30905,1782510872.7176034
25108,25.10426,0.14738339,0.44350675,363.0,50847990,452,30,32285,1782510872.816652
25132,25.126877,0.30170578,0.4438963,436.0,50706640,429,30,13422,1782510872.9098647
25079,25.07675,0.2878038,0.20680323,364.0,50706640,515,31,32675,1782510872.9098647
25074,25.073046,0.13390349,0.2067692,373.0,50803760,536,31,38123,1782510872.9098647
25115,25.114044,0.13412352,0.20704828,391.0,50761170,522,31,50327,1782510873.0121207
25090,25.084887,0.30120122,0.4432146,367.0,50628980,444,30,34519,1782510873.2077284
25089,25.085262,0.1472717,0.44319835,407.0,50725940,442,30,59695,1782510873.2077284
25088,25.084263,0.1472658,0.44318214,357.0,50802900,446,30,28186,1782510873.714191
25085,25.084045,0.13396251,0.20684408,363.0,50802900,541,31,32014,1782510873.714191
25125,25.122746,0.2883329,0.20711635,388.0,50691670,519,31,48641,1782510873.8111203
25120,25.11488,0.30156162,0.44370154,396.0,50685810,448,30,53350,1782510873.9110208
25096,25.090885,0.3012733,0.443312,372.0,50703750,440,30,37800,1782510874.0094123
25131,25.130043,0.13420938,0.20715718,391.0,50862820,498,31,50768,1782510874.6102488
25121,25.120043,0.13415572,0.20708911,363.0,50873010,554,31,32599,1782510874.8147998
25073,25.07075,0.28773478,0.20676239,378.0,50718240,540,31,41231,1782510875.109511
25094,25.091747,0.28797632,0.20690534,399.0,50682820,517,31,54979,1782510875.8112977
25080,25.07775,0.2878153,0.20681004,383.0,50683120,534,31,44536,1782510876.2137368
25080,25.079044,0.13393568,0.20681004,374.0,50809230,509,31,39012,1782510876.5161326
25135,25.131256,0.14754212,0.443945,394.0,50835480,465,30,52923,1782510876.6167908
25076,25.070889,0.30103302,0.44298735,370.0,50730060,447,30,36140,1782510877.1123068
25085,25.081263,0.14724818,0.44313344,412.0,50827230,446,30,62728,1782510877.1123068
25112,25.109747,0.28818336,0.20702785,382.0,50706860,522,31,44592,1782510877.8135886
25077,25.076044,0.13391958,0.20678963,361.0,50796920,540,31,30611,1782510878.316178
25129,25.125257,0.14750683,0.4438476,404.0,50794930,443,30,58608,1782510878.411063
25068,25.062891,0.3009369,0.44285753,374.0,50734160,431,30,38588,1782510878.7134602
