calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp
25.064949,25.05373,0.3184864,0.67884797,343.0,50747830,566,29,18922,25064,1782507051.8516436
25.079609,25.073889,0.30106905,0.44303605,375.0,50747830,604,30,39727,25079,1782507051.8516436
25.09395,25.082718,0.31885466,0.6795919,333.0,50670570,539,29,13276,25093,1782507052.0492587
25.144949,25.135725,0.011049077,0.6809002,422.0,50866040,550,29,4803,25144,1782507052.0492587
25.13361,25.129688,-0.00666264,0.44391254,416.0,50866040,651,30,851,25133,1782507052.0492587
25.023611,25.019192,-0.16015233,0.44212714,98.0,50963270,601,30,61855,25023,1782507052.0492587
25.087608,25.081886,0.30116516,0.4431659,377.0,50664420,609,30,41114,25087,1782507052.1495736
25.084612,25.080696,-0.0066500804,0.4431172,402.0,50859890,654,30,56542,25084,1782507052.1495736
25.090948,25.07972,0.31881654,0.67951494,372.0,50658180,561,29,37658,25090,1782507052.248972
25.11495,25.105736,0.011036155,0.68013066,409.0,50853600,549,29,61509,25114,1782507052.248972
25.09661,25.090885,0.3012733,0.443312,404.0,50658180,611,30,58279,25096,1782507052.248972
